SL,Easting,Northing,RL,Remarks,Surveyor,Date,,,
1,617972.0801,2743003.258,20.61,BS,Sanower Hossain,03/15/2021,,,
2,617861.3462,2742997.693,20.35,Puddy Land,Sanower Hossain,03/15/2021,,,
3,618026.084,2743049.027,20.18,Puddy Land,Sanower Hossain,03/15/2021,,,
4,617869.7464,2743058.425,20.63,Puddy Land,Sanower Hossain,03/15/2021,,,
5,617971.6048,2742991.212,20.20,Puddy Land,Sanower Hossain,03/15/2021,,,
6,617871.9223,2742945.541,20.25,Puddy Land,Sanower Hossain,03/15/2021,,,
7,617958.1656,2742924.016,20.14,Puddy Land,Sanower Hossain,03/15/2021,,,
8,617878.8317,2742879.196,20.57,Puddy Land,Sanower Hossain,03/15/2021,,,
9,617891.9246,2742834.565,20.59,Puddy Land,Sanower Hossain,03/15/2021,,,
10,618058.6139,2742847.891,21.34,Puddy Land,Sanower Hossain,03/15/2021,,,
11,618137.0847,2742843.44,20.62,Puddy Land,Sanower Hossain,03/15/2021,,,
12,618083.5026,2742879.176,20.20,Puddy Land,Sanower Hossain,03/15/2021,,,
13,618182.5529,2742906.956,20.21,Puddy Land,Sanower Hossain,03/15/2021,,,
14,618179.3823,2742954.93,20.24,Puddy Land,Sanower Hossain,03/15/2021,,,
15,618093.9248,2742956.59,20.06,Puddy Land,Sanower Hossain,03/15/2021,,,
16,618176.1463,2743039.296,20.18,Puddy Land,Sanower Hossain,03/15/2021,,,
17,618116.9759,2743002.177,20.33,Puddy Land,Sanower Hossain,03/15/2021,,,
18,618096.3659,2743051.643,20.10,Puddy Land,Sanower Hossain,03/15/2021,,,
19,618240.4214,2743033.272,20.27,Puddy Land,Sanower Hossain,03/15/2021,,,
20,618361.1355,2743029.301,20.35,Puddy Land,Sanower Hossain,03/15/2021,,,
21,618261.3188,2742970.358,20.30,Puddy Land,Sanower Hossain,03/15/2021,,,
22,618379.2946,2742959.807,20.51,Puddy Land,Sanower Hossain,03/15/2021,,,
23,618284.2733,2742944.762,20.34,Puddy Land,Sanower Hossain,03/15/2021,,,
24,618359.243,2742939.454,20.51,Puddy Land,Sanower Hossain,03/15/2021,,,
25,618199.9658,2742823.896,20.51,Puddy Land,Sanower Hossain,03/15/2021,,,
26,618143.3576,2742830.679,20.28,Mango Garden,Sanower Hossain,03/15/2021,,,
27,618081.2713,2742802.451,21.10,Mango Garden,Sanower Hossain,03/15/2021,,,
28,618057.2491,2742800.039,21.29,Mango Garden,Sanower Hossain,03/15/2021,,,
29,618002.3796,2742793.689,21.16,Mango Garden,Sanower Hossain,03/15/2021,,,
30,617996.2652,2742763.614,21.32,Mango Garden,Sanower Hossain,03/15/2021,,,
31,617927.6063,2742759.668,20.97,Mango Garden,Sanower Hossain,03/15/2021,,,
32,617839.67,2742858.489,20.84,Mango Garden,Sanower Hossain,03/15/2021,,,
33,617810.8415,2742890.087,20.49,Mango Garden,Sanower Hossain,03/15/2021,,,
34,617789.8779,2742954.884,20.99,Mango Garden,Sanower Hossain,03/15/2021,,,
35,617740.5433,2742905.341,20.97,Mango Garden,Sanower Hossain,03/15/2021,,,
36,617733.3733,2742953.955,20.98,Mango Garden,Sanower Hossain,03/15/2021,,,
37,617734.8469,2743004.796,20.87,Mango Garden,Sanower Hossain,03/15/2021,,,
38,617705.6777,2743019.699,20.83,Mango Garden,Sanower Hossain,03/15/2021,,,
39,617794.9928,2743040.997,20.50,Mango Garden,Sanower Hossain,03/15/2021,,,
40,617792.5138,2743089.746,20.37,Mango Garden,Sanower Hossain,03/15/2021,,,
41,617702.4225,2743060.837,20.41,Mango Garden,Sanower Hossain,03/15/2021,,,
42,617847.9406,2742973.52,21.11,Mango Garden,Sanower Hossain,03/15/2021,,,
43,617575,2742831,19.95,Station2,Sanower Hossain,03/15/2021,,,
44,617518.2288,2742804.643,21.76,BS,Sanower Hossain,03/15/2021,,,
45,617584.4469,2742709.896,22.01,Mango Garden,Sanower Hossain,03/15/2021,,,
46,617584.4564,2742709.772,22.02,Mango Garden,Sanower Hossain,03/15/2021,,,
47,617518.8681,2742762.286,22.52,Mango Garden,Sanower Hossain,03/15/2021,,,
48,617447.5006,2742777.59,22.02,Mango Garden,Sanower Hossain,03/15/2021,,,
49,617634.3992,2742679.047,21.10,Mango Garden,Sanower Hossain,03/15/2021,,,
50,617646.739,2742682.688,22.32,Mango Garden,Sanower Hossain,03/15/2021,,,
51,617511.5681,2742805.939,21.51,Mango Garden,Sanower Hossain,03/15/2021,,,
52,617478.9021,2742841.761,21.94,Mango Garden,Sanower Hossain,03/15/2021,,,
53,617673.7107,2742776.36,21.55,Mango Garden,Sanower Hossain,03/15/2021,,,
54,617482.0458,2742897.112,22.79,Mango Garden,Sanower Hossain,03/15/2021,,,
55,617523.7855,2742929.65,21.84,Mango Garden,Sanower Hossain,03/15/2021,,,
56,617592.9914,2743016.532,20.19,Mango Garden,Sanower Hossain,03/15/2021,,,
57,617658.9149,2742655.953,22.71,Mango Garden,Sanower Hossain,03/15/2021,,,
58,617579.9458,2742955.075,20.20,Mango Garden,Sanower Hossain,03/15/2021,,,
59,617627.7787,2742997.938,21.04,Mango Garden,Sanower Hossain,03/15/2021,,,
60,617675.9235,2742995.984,21.03,Mango Garden,Sanower Hossain,03/15/2021,,,
61,617617.015,2742806.234,21.42,Mango Garden,Sanower Hossain,03/15/2021,,,
62,617700.2568,2742946.7,20.88,Mango Garden,Sanower Hossain,03/15/2021,,,
63,617678.9865,2742832.93,21.32,Mango Garden,Sanower Hossain,03/15/2021,,,
64,617703.0732,2742901.712,22.09,Mango Garden,Sanower Hossain,03/15/2021,,,
65,617643.8324,2742885.38,22.59,Mango Garden,Sanower Hossain,03/15/2021,,,
66,617560.8145,2742805.266,21.27,Mango Garden,Sanower Hossain,03/15/2021,,,
67,617635.7403,2742918.658,21.52,Mango Garden,Sanower Hossain,03/15/2021,,,
68,617544.7177,2742845.174,21.66,Mango Garden,Sanower Hossain,03/15/2021,,,
69,617596.7638,2742930.862,21.06,Mango Garden,Sanower Hossain,03/15/2021,,,
70,617546.986,2742896.523,21.72,Mango Garden,Sanower Hossain,03/15/2021,,,
71,617600.0716,2742890.252,21.41,Mango Garden,Sanower Hossain,03/15/2021,,,
72,617579.2978,2742883.079,21.43,Mango Garden,Sanower Hossain,03/15/2021,,,
73,617601.1294,2742840.236,21.53,Mango Garden,Sanower Hossain,03/15/2021,,,
74,617825,2742687,21.18,Station3,Sanower Hossain,03/15/2021,,,
75,617871.8077,2742635.212,21.99,BS,Sanower Hossain,03/15/2021,,,
76,617909.4536,2742582.353,21.32,Mango Garden,Sanower Hossain,03/15/2021,,,
77,617879.295,2742747.972,21.48,Mango Garden,Sanower Hossain,03/15/2021,,,
78,617898.2436,2742644.769,21.85,Mango Garden,Sanower Hossain,03/15/2021,,,
79,617809.5446,2742757.342,21.51,Mango Garden,Sanower Hossain,03/15/2021,,,
80,617922.2765,2742694.768,21.35,Mango Garden,Sanower Hossain,03/15/2021,,,
81,617922.2712,2742694.768,21.35,Mango Garden,Sanower Hossain,03/15/2021,,,
82,617793.1908,2742831.268,21.39,Mango Garden,Sanower Hossain,03/15/2021,,,
83,617855.5358,2742687.304,21.30,Mango Garden,Sanower Hossain,03/15/2021,,,
84,617750.1443,2742795.486,20.91,Mango Garden,Sanower Hossain,03/15/2021,,,
85,617730.3117,2742772.796,21.50,Mango Garden,Sanower Hossain,03/15/2021,,,
86,617776.5937,2742693.854,21.49,Mango Garden,Sanower Hossain,03/15/2021,,,
87,617711.6924,2742827.257,21.37,Mango Garden,Sanower Hossain,03/15/2021,,,
88,617726.9568,2742694.519,21.73,Mango Garden,Sanower Hossain,03/15/2021,,,
89,617689.8171,2742789.21,21.47,Mango Garden,Sanower Hossain,03/15/2021,,,
90,617713.9511,2742627.124,22.90,Mango Garden,Sanower Hossain,03/15/2021,,,
91,617726.89,2742748.471,21.60,Mango Garden,Sanower Hossain,03/15/2021,,,
92,617675.8865,2742586.333,21.37,Mango Garden,Sanower Hossain,03/15/2021,,,
93,617805.0508,2742713.018,21.46,Mango Garden,Sanower Hossain,03/15/2021,,,
94,617724.1469,2742585.245,22.23,Mango Garden,Sanower Hossain,03/15/2021,,,
95,617800.3221,2742612.767,23.10,Mango Garden,Sanower Hossain,03/15/2021,,,
96,617826.8619,2742583.171,22.00,Mango Garden,Sanower Hossain,03/15/2021,,,
97,617924,2742549,21.13,Station4,Sanower Hossain,03/15/2021,,,
98,617872.7332,2742633.786,21.99,BS,Sanower Hossain,03/15/2021,,,
99,617923.0749,2742536.35,21.10,Mango Garden,Sanower Hossain,03/15/2021,,,
100,617923.0734,2742536.328,21.10,Mango Garden,Sanower Hossain,03/15/2021,,,
101,617927.9962,2742455.242,21.26,Mango Garden,Sanower Hossain,03/15/2021,,,
102,617863.6474,2742599.746,21.71,Mango Garden,Sanower Hossain,03/15/2021,,,
103,617843.0402,2742547.842,20.63,Mango Garden,Sanower Hossain,03/15/2021,,,
104,617971.6081,2742447.731,21.40,Mango Garden,Sanower Hossain,03/15/2021,,,
105,617848.2548,2742511.291,21.31,Mango Garden,Sanower Hossain,03/15/2021,,,
106,618017.6404,2742431.707,20.97,Mango Garden,Sanower Hossain,03/15/2021,,,
107,617814.1926,2742503.799,21.37,Mango Garden,Sanower Hossain,03/15/2021,,,
108,618003.6635,2742499.838,21.08,Mango Garden,Sanower Hossain,03/15/2021,,,
109,617765.8969,2742503.791,21.97,Mango Garden,Sanower Hossain,03/15/2021,,,
110,618045.3679,2742505.819,21.13,Mango Garden,Sanower Hossain,03/15/2021,,,
111,617720.8392,2742505.249,22.04,Mango Garden,Sanower Hossain,03/15/2021,,,
112,618059.8017,2742556.829,21.65,Mango Garden,Sanower Hossain,03/15/2021,,,
113,617678.105,2742505.138,22.25,Mango Garden,Sanower Hossain,03/15/2021,,,
114,618049.9752,2742619.962,22.15,Mango Garden,Sanower Hossain,03/15/2021,,,
115,617635.1452,2742517.104,22.20,Mango Garden,Sanower Hossain,03/15/2021,,,
116,618019.7655,2742663.915,20.93,Mango Garden,Sanower Hossain,03/15/2021,,,
117,617724.8572,2742487.079,22.20,Mango Garden,Sanower Hossain,03/15/2021,,,
118,617941.8422,2742691.326,21.03,Mango Garden,Sanower Hossain,03/15/2021,,,
119,617803.1905,2742496.045,22.58,Mango Garden,Sanower Hossain,03/15/2021,,,
120,617925.6977,2742603.318,21.12,Mango Garden,Sanower Hossain,03/15/2021,,,
121,617859.6777,2742469.177,21.54,Mango Garden,Sanower Hossain,03/15/2021,,,
122,617965.71,2742608.692,21.19,Mango Garden,Sanower Hossain,03/15/2021,,,
123,617832.9215,2742438.499,21.45,Mango Garden,Sanower Hossain,03/15/2021,,,
124,617991.7741,2742574.904,19.95,Mango Garden,Sanower Hossain,03/15/2021,,,
125,617995.1744,2742528.48,20.43,Mango Garden,Sanower Hossain,03/15/2021,,,
126,617910.2232,2742435.784,21.29,Mango Garden,Sanower Hossain,03/15/2021,,,
127,617731.1235,2742387.468,21.42,Mango Garden,Sanower Hossain,03/15/2021,,,
128,617820.1325,2742315.135,21.37,Mango Garden,Sanower Hossain,03/15/2021,,,
129,617923.1543,2742371.213,21.52,Mango Garden,Sanower Hossain,03/15/2021,,,
130,617946.1651,2742288.413,21.45,Mango Garden,Sanower Hossain,03/15/2021,,,
131,615594.559,2746195.015,23.55,BSS01,Sanower Hossain,44199,,,
132,615673.607,2746164.648,24.05,Mango Garden,Sanower Hossain,44199,,,
133,615673.841,2746169.139,23.13,Mango Garden,Sanower Hossain,44199,,,
134,615588.098,2746145.433,23.43,Mango Garden,Sanower Hossain,44199,,,
135,615457.93,2746169.564,24.80,Pucca Road,Sanower Hossain,44199,,,
136,615467.9,2746176.203,24.45,Land,Sanower Hossain,44199,,,
137,615664.408,2746244.978,23.05,Land,Sanower Hossain,44199,,,
138,615604.413,2746204.565,22.66,Land,Sanower Hossain,44199,,,
139,615688.733,2746332.956,23.28,Land,Sanower Hossain,44199,,,
140,615449.793,2746238.876,25.01,Land,Sanower Hossain,44199,,,
141,615570.68,2746330.66,23.22,Land,Sanower Hossain,44199,,,
142,615586.198,2746397.479,23.23,Land,Sanower Hossain,44199,,,
143,615694.089,2746381.358,23.52,Land,Sanower Hossain,44199,,,
144,615701.599,2746429.596,24.06,Mango Garden,Sanower Hossain,44199,,,
145,615634.95,2746420.627,23.09,Mango Garden,Sanower Hossain,44199,,,
146,615515.225,2746354.024,23.55,Land,Sanower Hossain,44199,,,
147,615704.775,2746454.385,24.10,Mango Garden,Sanower Hossain,44199,,,
148,615510.135,2746412.265,24.09,Land,Sanower Hossain,44199,,,
149,615527.002,2746464.993,23.71,Land,Sanower Hossain,44199,,,
150,615646.822,2746427.441,23.61,Land,Sanower Hossain,44199,,,
151,615585.185,2746429.875,23.52,Land,Sanower Hossain,44199,,,
152,615759.792,2746599.745,23.75,Mango Garden,Sanower Hossain,44199,,,
153,615776.775,2746504.064,24.18,Mango Garden,Sanower Hossain,44199,,,
154,615762.13,2746449.755,23.98,Mango Garden,Sanower Hossain,44199,,,
155,615739.663,2746397.638,23.61,Mango Garden,Sanower Hossain,44199,,,
156,615743.598,2746328.329,23.25,Mango Garden,Sanower Hossain,44199,,,
157,615827.17,2746359.148,23.59,Mango Garden,Sanower Hossain,44199,,,
158,615859.714,2746316.342,23.70,Mango Garden,Sanower Hossain,44199,,,
159,615749.935,2746261.743,23.52,Mango Garden,Sanower Hossain,44199,,,
160,615845.606,2746265.428,23.74,Mango Garden,Sanower Hossain,44199,,,
161,615790.833,2746211.061,22.75,Mango Garden,Sanower Hossain,44199,,,
162,615895.612,2746247.737,22.95,Mango Garden,Sanower Hossain,44199,,,
163,615784.513,2746158.835,23.10,Mango Garden,Sanower Hossain,44199,,,
164,615759.924,2746122.662,23.09,Mango Garden,Sanower Hossain,44199,,,
165,615759.914,2746122.673,23.09,Mango Garden,Sanower Hossain,44199,,,
166,615742.841,2746114.995,23.95,Mango Garden,Sanower Hossain,44199,,,
167,615963.122,2746247.649,23.21,Mango Garden,Sanower Hossain,44199,,,
168,615692.747,2746083.754,24.35,Mango Garden,Sanower Hossain,44199,,,
169,615684.886,2746018.27,23.81,Mango Garden,Sanower Hossain,44199,,,
170,615996.095,2746222.999,22.94,Mango Garden,Sanower Hossain,44199,,,
171,615670.851,2745969.835,24.16,Mango Garden,Sanower Hossain,44199,,,
172,615852.696,2746139.542,22.97,Mango Garden,Sanower Hossain,44199,,,
173,615852.193,2746132.076,23.03,Mango Garden,Sanower Hossain,44199,,,
174,615867.147,2746098.09,23.40,Mango Garden,Sanower Hossain,44199,,,
175,615647.3,2746139.179,23.88,Mango Garden,Sanower Hossain,44199,,,
176,615621.863,2746067.469,24.12,Mango Garden,Sanower Hossain,44199,,,
177,615605.616,2746021.964,23.72,Mango Garden,Sanower Hossain,44199,,,
178,615595.047,2746066.115,24.19,Mango Garden,Sanower Hossain,44199,,,
179,615577.318,2746114.927,23.42,Mango Garden,Sanower Hossain,44199,,,
180,615842.096,2746030.563,23.35,BSs02,Sanower Hossain,44199,,,
181,615863.765,2745978.365,22.71,Mango Garden,Sanower Hossain,44199,,,
182,615802.04,2745747.062,24.50,Pucca Road,Sanower Hossain,44199,,,
183,615835.186,2745864.933,23.09,Mango Garden,Sanower Hossain,44199,,,
184,615808.067,2745778.078,22.32,Mango Garden,Sanower Hossain,44199,,,
185,615926.483,2745975.267,23.44,Mango Garden,Sanower Hossain,44199,,,
186,615791.373,2745844.181,24.06,Mango Garden,Sanower Hossain,44199,,,
187,615800.995,2745910.396,23.84,Mango Garden,Sanower Hossain,44199,,,
188,615889.365,2745884.26,23.47,Mango Garden,Sanower Hossain,44199,,,
189,615970.339,2745939.381,23.45,Mango Garden,Sanower Hossain,44199,,,
190,615803.238,2745956.184,23.77,Mango Garden,Sanower Hossain,44199,,,
191,616008.529,2745945.294,23.23,Mango Garden,Sanower Hossain,44199,,,
192,615967.23,2745859.301,23.95,Mango Garden,Sanower Hossain,44199,,,
193,616051.972,2745944.52,22.97,Mango Garden,Sanower Hossain,44199,,,
194,616034.078,2745852.68,23.21,Mango Garden,Sanower Hossain,44199,,,
195,615829.775,2746030.415,23.68,Mango Garden,Sanower Hossain,44199,,,
196,615824.797,2745985.68,22.51,Mango Garden,Sanower Hossain,44199,,,
197,616039.544,2745865.38,23.16,Mango Garden,Sanower Hossain,44199,,,
198,615765.145,2745975.4,23.74,Mango Garden,Sanower Hossain,44199,,,
199,615753.943,2745960.416,23.86,Mango Garden,Sanower Hossain,44199,,,
200,615746.614,2745932.996,23.84,Mango Garden,Sanower Hossain,44199,,,
201,615875.693,2745916.737,23.71,Mango Garden,Sanower Hossain,44199,,,
202,616082.911,2745693.278,23.53,BSS03,Sanower Hossain,44199,,,
203,616083.973,2745700.264,23.15,Mango Garden,Sanower Hossain,44199,,,
204,616083.605,2745772.849,23.35,Mango Garden,Sanower Hossain,44199,,,
205,616090.385,2745848.788,23.43,Mango Garden,Sanower Hossain,44199,,,
206,616173.312,2745789.106,23.01,Mango Garden,Sanower Hossain,44199,,,
207,616144.549,2745701.737,22.99,Mango Garden,Sanower Hossain,44199,,,
208,616143.656,2745855.044,23.42,Mango Garden,Sanower Hossain,44199,,,
209,616247.963,2745781.818,22.80,Mango Garden,Sanower Hossain,44199,,,
210,616217.378,2745693.048,23.07,Mango Garden,Sanower Hossain,44199,,,
211,616295.833,2745780.156,22.71,Mango Garden,Sanower Hossain,44199,,,
212,616287.846,2745693.142,22.70,Mango Garden,Sanower Hossain,44199,,,
213,616311.415,2745761.226,22.71,Mango Garden,Sanower Hossain,44199,,,
214,616315.322,2745817.03,22.56,Mango Garden,Sanower Hossain,44199,,,
215,616250.307,2745847.906,22.99,Mango Garden,Sanower Hossain,44199,,,
216,616185.514,2745840.084,23.14,Mango Garden,Sanower Hossain,44199,,,
217,616264.564,2745912.761,23.86,Mango Garden,Sanower Hossain,44199,,,
218,616191.093,2745943.423,23.49,Mango Garden,Sanower Hossain,44199,,,
219,616153.911,2745967.295,23.92,Mango Garden,Sanower Hossain,44199,,,
220,616084.184,2745976.693,24.09,Mango Garden,Sanower Hossain,44199,,,
221,616079.533,2745906.476,23.09,Mango Garden,Sanower Hossain,44199,,,
222,616063.225,2745815.216,22.54,Mango Garden,Sanower Hossain,44199,,,
223,616053.585,2745790.199,23.59,Mango Garden,Sanower Hossain,44199,,,
224,616048.574,2745745.846,23.33,Mango Garden,Sanower Hossain,44199,,,
225,616068.03,2745682.464,23.98,Mango Garden,Sanower Hossain,44199,,,
226,615990.204,2745798.393,24.09,Mango Garden,Sanower Hossain,44199,,,
227,615996.125,2745754.497,23.93,Mango Garden,Sanower Hossain,44199,,,
228,616021.592,2745687.768,24.27,Pucca Road,Sanower Hossain,44199,,,
229,615926.579,2745787.264,23.83,Mango Garden,Sanower Hossain,44199,,,
230,615921.587,2745775.247,23.95,Mango Garden,Sanower Hossain,44199,,,
231,615921.734,2745773.956,24.02,Mango Garden,Sanower Hossain,44199,,,
232,615949.3722,2746161.616,24.08,Mango Garden,Sanower Hossain,44199,,,
233,616055.3533,2746278.819,23.94,Mango Garden,Sanower Hossain,44199,,,
234,615945.6317,2746339.914,23.73,Mango Garden,Sanower Hossain,44199,,,
235,616069.0685,2746378.566,23.78,Mango Garden,Sanower Hossain,44199,,,
236,616181.2837,2746213.983,24.19,Mango Garden,Sanower Hossain,44199,,,
237,616085.2773,2746176.578,24.22,Mango Garden,Sanower Hossain,44199,,,
238,616017.9482,2746064.363,23.78,Mango Garden,Sanower Hossain,44199,,,
239,616138.8913,2746066.857,24.30,Mango Garden,Sanower Hossain,44199,,,
240,616226.1699,2746127.952,24.23,Mango Garden,Sanower Hossain,44199,,,
241,615914.4608,2746036.933,24.18,Mango Garden,Sanower Hossain,44199,,,
242,615927.9443,2746549.982,24.29,Mango Garden,Sanower Hossain,44199,,,
243,615835.8691,2746440.445,24.17,Mango Garden,Sanower Hossain,44199,,,
244,615969.2194,2746449.97,24.28,Mango Garden,Sanower Hossain,44199,,,
245,616391.4952,2745892.756,24.18,Mango Garden,Sanower Hossain,44199,,,
246,616464.5204,2745805.443,23.66,Mango Garden,Sanower Hossain,44199,,,
247,616394.6702,2745718.131,23.98,Mango Garden,Sanower Hossain,44199,,,
248,616082.904,2745693.502,23.53,Mango Garden,,44258,,,
249,616085.807,2745657.862,22.86,Mango Garden,,44258,,,
250,616066.661,2745567.508,23.74,Mango Garden,,44258,,,
251,616112.625,2745555.301,23.50,Mango Garden,,44258,,,
252,616186.219,2745639.293,23.00,Mango Garden,,44258,,,
253,616181.664,2745555.151,22.92,Mango Garden,,44258,,,
254,616259.749,2745643.854,22.90,Mango Garden,,44258,,,
255,616231.893,2745546.17,23.64,Mango Garden,,44258,,,
256,616296.094,2745635.767,23.18,Mango Garden,,44258,,,
257,616285.469,2745562.237,23.19,Mango Garden,,44258,,,
258,616041.425,2745574.139,23.84,Mango Garden,,44258,,,
259,616036.585,2745663.636,23.06,Mango Garden,,44258,,,
260,615964.604,2745590.18,23.30,Mango Garden,,44258,,,
261,615997.272,2745678.966,23.37,Mango Garden,,44258,,,
262,615962.97,2745682.591,24.29,Mango Garden,,44258,,,
263,615784.992,2745515.002,22.73,BS,,44258,,,
264,615940.985,2745499.297,22.83,Mango Garden,,44258,,,
265,615936.882,2745439.082,24.42,Mango Garden,,44258,,,
266,615913.495,2745401.206,24.42,Mango Garden,,44258,,,
267,615840.166,2745521.723,23.11,Mango Garden,,44258,,,
268,615845.465,2745429.806,23.71,Mango Garden,,44258,,,
269,615783.872,2745544.185,22.75,Mango Garden,,44258,,,
270,615762.656,2745453.863,23.78,Mango Garden,,44258,,,
271,615744.846,2745579.429,23.39,Mango Garden,,44258,,,
272,615705.264,2745474.705,23.82,Mango Garden,,44258,,,
273,615732.64,2745555.122,22.86,Mango Garden,,44258,,,
274,615643.902,2745497.357,23.80,Mango Garden,,44258,,,
275,615675.571,2745591.819,23.45,Mango Garden,,44258,,,
276,615576.148,2745503.686,24.14,Mango Garden,,44258,,,
277,615634.161,2745613.107,23.42,Mango Garden,,44258,,,
278,615693.888,2745417.35,23.47,Mango Garden,,44258,,,
279,615730.904,2745400.184,23.69,Mango Garden,,44258,,,
280,615689.422,2745329.672,23.39,Mango Garden,,44258,,,
281,615729.389,2745316.268,23.36,Mango Garden,,44258,,,
282,615794.771,2745381.165,23.39,Mango Garden,,44258,,,
283,615794.912,2745289.724,23.32,Mango Garden,,44258,,,
284,615856.992,2745361.481,24.05,Mango Garden,,44258,,,
285,616082.983,2745422.277,23.59,BS,,44258,,,
286,616129.062,2745410.59,22.33,Mango Garden,,44258,,,
287,616122.453,2745359.19,23.44,Mango Garden,,44258,,,
288,616026.095,2745424.674,23.25,Mango Garden,,44258,,,
289,616009.09,2745388.169,23.26,Mango Garden,,44258,,,
290,616084.214,2745262.227,23.31,Mango Garden,,44258,,,
291,615982.383,2745352.273,23.06,Mango Garden,,44258,,,
292,616061.979,2745219.308,23.56,Mango Garden,,44258,,,
293,616061.983,2745219.311,23.55,Mango Garden,,44258,,,
294,615939.376,2745354.256,23.43,Mango Garden,,44258,,,
295,615939.394,2745354.242,23.43,Mango Garden,,44258,,,
296,616026.39,2745184.282,23.75,Mango Garden,,44258,,,
297,616018.528,2745133.874,23.61,Mango Garden,,44258,,,
298,616012.567,2745267.527,23.98,Mango Garden,,44258,,,
299,615967.447,2745182.996,24.14,Mango Garden,,44258,,,
300,616010.996,2745100.034,23.59,Mango Garden,,44258,,,
301,615955.972,2745139.966,23.73,Mango Garden,,44258,,,
302,615925.099,2745154.095,23.36,Mango Garden,,44258,,,
303,615952.223,2745203.967,23.61,Mango Garden,,44258,,,
304,615961.858,2745247.117,23.31,Mango Garden,,44258,,,
305,616052.872,2745059.993,23.03,Mango Garden,,44258,,,
306,616079.516,2745058.062,23.21,Mango Garden,,44258,,,
307,616128.571,2745053.87,23.01,Mango Garden,,44258,,,
308,616088.941,2745128.895,23.44,Mango Garden,,44258,,,
309,616120.728,2745207.904,23.99,Mango Garden,,44258,,,
310,616188.267,2745103.528,23.18,Mango Garden,,44258,,,
311,616138.043,2745255.824,22.93,Mango Garden,,44258,,,
312,616236.755,2745145.74,22.65,Mango Garden,,44258,,,
313,616147.02,2745305.463,23.02,Mango Garden,,44258,,,
314,616289.982,2745187.338,22.63,Mango Garden,,44258,,,
315,616164.911,2745356.111,22.82,Mango Garden,,44258,,,
316,616313.889,2745254.659,22.78,Mango Garden,,44258,,,
317,616180.426,2745400.961,22.74,Mango Garden,,44258,,,
318,616314.481,2745289.813,23.03,Mango Garden,,44258,,,
319,616199.278,2745435.462,22.72,Mango Garden,,44258,,,
320,616203.699,2745267.442,23.17,Mango Garden,,44258,,,
321,616189.911,2745219.635,23.34,Mango Garden,,44258,,,
322,616115.296,2745389.309,22.08,Mango Garden,,44258,,,
323,616120.011,2745443.912,23.51,Mango Garden,,44258,,,
324,616079.084,2745513.254,23.82,Mango Garden,,44258,,,
325,616223.594,2745343.242,23.04,BS,,44258,,,
326,616212.786,2745327.853,22.99,Mango Garden,,44258,,,
327,616295.248,2745358.786,23.11,Mango Garden,,44258,,,
328,616226.19,2745384.446,22.80,Mango Garden,,44258,,,
329,616304.362,2745434.449,23.29,Mango Garden,,44258,,,
330,616221.891,2745433.408,22.78,Mango Garden,,44258,,,
331,616353.742,2745416.708,23.09,Mango Garden,,44258,,,
332,616247.787,2745501.505,23.67,Mango Garden,,44258,,,
333,616380.554,2745416.776,23.00,Mango Garden,,44258,,,
334,616251.528,2745501.648,23.64,Mango Garden,,44258,,,
335,616284.178,2745507.708,23.67,Mango Garden,,44258,,,
336,616394.367,2745294.586,22.76,Mango Garden,,44258,,,
337,616458.038,2745280.261,22.97,Mango Garden,,44258,,,
338,616403.328,2745247.306,22.85,Mango Garden,,44258,,,
339,616342.01,2745249.085,23.00,Mango Garden,,44258,,,
340,616326.276,2745201.882,23.08,Mango Garden,,44258,,,
341,616290.846,2745192.317,23.03,Mango Garden,,44258,,,
342,616277.932,2745154.451,23.05,Mango Garden,,44258,,,
343,616244.907,2745031.804,22.99,Mango Garden,,44258,,,
344,615899.5897,2745323.371,22.89,Mango Garden,,44230,,,
345,615638.9746,2745357.767,23.70,Mango Garden,,44230,,,
346,616169.4653,2744979.412,22.79,Mango Garden,,44230,,,
347,616103.3193,2744963.537,22.68,Mango Garden,,44230,,,
348,616019.9754,2744986.027,23.26,Mango Garden,,44230,,,
349,615941.9232,2744901.36,23.30,Mango Garden,,44230,,,
350,615926.0481,2745085.246,23.49,Mango Garden,,44230,,,
351,615861.2251,2745045.558,23.29,Mango Garden,,44230,,,
352,615851.9646,2745249.288,23.69,Mango Garden,,44230,,,
353,615964.4128,2745306.174,23.17,Mango Garden,,44230,,,
354,615841.3813,2745210.923,23.42,Mango Garden,,44230,,,
355,615916.7877,2745216.215,23.50,Mango Garden,,44230,,,
356,615788.4645,2745181.819,23.15,Mango Garden,,44230,,,
357,615656.1726,2745441.111,23.90,Mango Garden,,44230,,,
358,615858.5792,2745115.673,22.92,Mango Garden,,44230,,,
359,615791.1104,2745689.82,23.93,Mango Garden,,44230,,,
360,615545.0474,2745623.674,23.99,Mango Garden,,44230,,,
361,620514.0348,2732686.035,19.36,BS34,Sanowar,44290,,,
362,620413.0818,2732796.972,18.95,Mango Garden,Sanowar,44290,,,
363,620439.6685,2732885.221,18.93,Mango Garden,Sanowar,44290,,,
364,620534.1534,2732865.745,18.85,Mango Garden,Sanowar,44290,,,
365,620501.7739,2732749.274,18.78,Mango Garden,Sanowar,44290,,,
366,620596.6088,2732707.227,18.85,Mango Garden,Sanowar,44290,,,
367,620641.5318,2732845.635,18.87,Mango Garden,Sanowar,44290,,,
